# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,47.5,2,97,2850.0,60
2,43.678,0,98,2577.0,59
3,53.644,1,95,3165.0,59
4,44.066,0,99,2688.0,61
5,54.373,3,95,3208.0,59
6,48.115,4,97,2935.0,61
7,49.967,1,98,2998.0,60
8,48.783,1,95,2927.0,60
9,47.683,0,98,2861.0,60
10,44.746,0,99,2640.0,59
11,57.267,4,99,3436.0,60
12,49.833,1,98,2990.0,60
13,48.967,0,98,2938.0,60
14,43.45,0,94,2607.0,60
15,46.559,4,94,2747.0,59
16,54.733,0,98,3284.0,60
17,50.25,0,99,3015.0,60
18,49.322,0,99,2910.0,59
19,43.283,1,94,2597.0,60
20,49.167,0,99,2950.0,60
21,49.443,2,97,3016.0,61
22,49.254,0,99,2906.0,59
23,41.361,3,94,2523.0,61
24,48.803,0,99,2977.0,61
