# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,52.233,4,99,3134.0,60
2,55.763,0,98,3290.0,59
3,50.183,0,99,3011.0,60
4,53.483,6,98,3209.0,60
5,51.967,0,99,3118.0,60
6,51.05,1,97,3063.0,60
7,44.883,0,99,2693.0,60
8,44.017,2,99,2641.0,60
9,44.567,0,99,2674.0,60
10,45.35,1,94,2721.0,60
11,47.783,1,93,2867.0,60
12,52.262,0,98,3188.0,61
13,51.328,2,98,3131.0,61
14,48.017,0,99,2881.0,60
15,47.7,1,99,2862.0,60
16,47.424,2,95,2798.0,59
17,55.35,4,99,3321.0,60
18,51.25,0,97,3075.0,60
19,48.617,1,99,2917.0,60
20,51.098,0,99,3117.0,61
21,38.492,1,97,2271.0,59
22,52.7,0,97,3162.0,60
23,49.933,0,99,2996.0,60
24,46.65,0,98,2799.0,60
