# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,58.525,1,99,3453.0,59
2,45.433,3,95,2726.0,60
3,43.525,0,98,2655.0,61
4,47.317,0,97,2839.0,60
5,47.22,1,96,2786.0,59
6,51.567,0,99,3094.0,60
7,42.883,2,95,2573.0,60
8,43.915,0,98,2591.0,59
9,47.77,0,99,2914.0,61
10,44.186,0,97,2607.0,59
11,50.983,1,99,3059.0,60
12,53.217,10,99,3193.0,60
13,44.852,1,97,2736.0,61
14,55.683,1,99,3341.0,60
15,49.213,3,95,3002.0,61
16,58.1,1,98,3486.0,60
17,51.817,0,99,3109.0,60
18,48.683,2,99,2921.0,60
19,50.2,0,98,3012.0,60
20,47.95,1,98,2877.0,60
21,39.85,2,94,2391.0,60
22,49.898,0,99,2944.0,59
23,46.3,1,98,2778.0,60
24,47.267,5,96,2836.0,60
