# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,46.119,2,94,2721.0,59
2,49.213,0,99,3002.0,61
3,44.233,1,99,2654.0,60
4,48.322,1,98,2851.0,59
5,50.95,1,98,3057.0,60
6,54.847,0,97,3236.0,59
7,56.617,2,97,3397.0,60
8,48.117,0,99,2887.0,60
9,49.783,0,96,2987.0,60
10,47.667,2,98,2860.0,60
11,45.767,0,99,2746.0,60
12,52.424,0,99,3093.0,59
13,49.2,0,94,2952.0,60
14,49.213,0,98,3002.0,61
15,50.267,1,98,3016.0,60
16,57.847,0,96,3413.0,59
17,55.783,0,97,3347.0,60
18,49.583,0,99,2975.0,60
19,50.233,0,99,3014.0,60
20,50.917,2,99,3055.0,60
21,53.067,1,98,3184.0,60
22,50.639,1,96,3089.0,61
23,46.644,2,98,2752.0,59
24,45.317,0,94,2719.0,60
