# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,52.169,1,97,3078.0,59
2,44.557,0,98,2718.0,61
3,50.417,2,99,3025.0,60
4,51.467,2,99,3088.0,60
5,46.883,5,98,2813.0,60
6,51.661,3,97,3048.0,59
7,45.869,0,91,2798.0,61
8,59.033,8,99,3542.0,60
9,47.949,0,99,2829.0,59
10,53.483,5,99,3209.0,60
11,49.95,0,99,2997.0,60
12,56.441,0,98,3330.0,59
13,46.883,0,99,2813.0,60
14,40.517,0,98,2431.0,60
15,48.6,0,99,2916.0,60
16,46.867,3,99,2812.0,60
17,54.9,7,99,3294.0,60
18,50.4,1,99,3024.0,60
19,56.55,0,97,3393.0,60
20,44.867,2,96,2692.0,60
21,58.279,1,98,3555.0,61
22,45.183,0,97,2711.0,60
23,44.783,0,94,2687.0,60
24,54.483,4,99,3269.0,60
